PDF Name,Original URL,Final URL,HTTP Status,Reason,Content-Type,Page Title,Body Snippet
Uk Country Cross Border Payments.Sttl,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/uk-country-cross-border-payments.sttl.pdf,https://www.hsbc.co.uk/content/dam/hsbc/gb/pdf/uk-country-cross-border-payments.sttl.pdf,404,HTTP_404,text/html;charset=utf-8,404,"404 if ( !!window.hsbc ) { window.hsbc.cookie = { cookiePolicyLastUpdateDate: 1466093305524, cookiePolicyUrl: '/1/2/cookie-policy' } } else { window.hsbc = { cookie: { cookiePolicyLastUpdateDate: 1466093305524, cookiePolicyUrl: '/1/2/cookie-policy' } }; }"
Notice Of Variation For Small Business Banking And Business Banking Customers,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/self-services/notice-of-variation-for-small-business-banking-and-business-banking-customers.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Rac Hsbc Growth Experience,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/rac-hsbc-growth-experience.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Receivables Finance Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/receivables-finance-brochure.pdf?download=1,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Receivables Finance Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/receivables-finance-brochure.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Receivables Finance Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/receivables-finance-brochure.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Request To Amend A Guarantee Or Standby Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/request-to-amend-a-guarantee-or-standby-letter-of-credit.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Rlsif Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/rlsif-factsheet.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Safeguard Guide For Religious Organisations 2021,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/safeguard-guide-for-religious-organisations-2021.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Terms And Conditions For Hsbc Championships Tennis Tournament 2025 Ticket Giveaway,https://www.business.hsbc.uk/-/media/media/uk/pdfs/terms-and-conditions-for-hsbc-championships-tennis-tournament-2025-ticket-giveaway.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
To Apply For A Guarantee Or Standby Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/to-apply-for-a-guarantee-or-standby-letter-of-credit.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
