Row Number,PDF Name,Original URL,Final URL,HTTP Status,Reason,Review Category,Source Category,Content-Type,Page Title,Body Snippet
251,Content.Aspx?Content=Hsbcriskassessment,http://www.privacyguard.co.uk/Content.aspx?content=HSBCriskassessment,https://www.privacyguard.co.uk:443/Content.aspx?content=HSBCriskassessment,200,OK,ALT_LANDING_PAGE_NON_PDF,Www.Privacyguard.Co.Uk,text/html; charset=utf-8,"Free credit report, credit score and credit check from PrivacyGuard UK","= VariantName=======> =PG_UK_CC BrandCode=========> =PG_UK_CC PackageId=========> =1012244 ProdDefId=========> =0 Region============> =en-GB --> Free credit report, credit score and credit check from PrivacyGuard UK jQuery(document).ready(function($) { $('.module.statistics').each(function(index, it"
255,Invoice Finance Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-finance-guide.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,GIB/RF/IIF,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
267,Hsbccorporatebanking Openbankingperformanceandavailabilityreport Q3 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbccorporatebanking-openbankingperformanceandavailabilityreport-q3-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
269,Rac Hsbc Growth Experience,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/rac-hsbc-growth-experience.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Campaigns,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
270,Request To Amend A Guarantee Or Standby Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/request-to-amend-a-guarantee-or-standby-letter-of-credit.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Solutions,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
275,Hsbckinetic Openbankingperformanceandavailabilityreport Q1 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbckinetic-openbankingperformanceandavailabilityreport-q1-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
276,Hsbckinetic Openbankingperformanceandavailabilityreport Q4 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbckinetic-openbankingperformanceandavailabilityreport-q4-2024.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
279,Hsbckinetic Openbankingperformanceandavailabilityreport Q3 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbckinetic-openbankingperformanceandavailabilityreport-q3-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
285,Econ 101 Uk Inflation Explainer Cmbwl Public,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/econ-101-uk-inflation-explainer-cmbwl-public.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Generic,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
290,Hsbccorporatebanking Openbankingperformanceandavailabilityreport Q1 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hsbccorporatebanking-openbankingperformanceandavailabilityreport-q1-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
293,Rlsif Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/rlsif-factsheet.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Solutions,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
297,Business Deposit Card Application Form,https://www.business.hsbc.uk/en-gb/solutions/account-serviceshttps://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/business-deposit-card-application-form.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Solutions,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
300,Cmb Uk In Focus April 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/cmb-uk-in-focus-april-2024.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
314,Safeguard Guide For Religious Organisations 2021,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/safeguard-guide-for-religious-organisations-2021.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,General,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
