pdf_name,url,category,priority_tier,control_pdfua,control_wcag,our_pdfua,our_wcag,overall_result,failure_summary
Export Finance,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/export-finance.pdf,Solutions,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Adding A New User Profile For Rf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/adding-a-new-user-profile-for-rf.pdf,GIB/RF/IIF,Tier 2,,,Fail,Pending Adobe,FAIL,"At least one heading present, Lists use L tag, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hsbc Current Account Switch Data Privacy Notice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsbc-current-account-switch-data-privacy-notice.pdf,Products,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Rapid Reconciliation Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/rapid-reconciliation-factsheet.pdf,Products,Tier 2,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Business Price List,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,Regulations,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Hbuk Ftd Summary Box,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hbuk-ftd-summary-box.pdf,General,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Export Finance,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/export-finance.pdf,Products,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Smartsweep Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/smartsweep-factsheet.pdf,Products,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Control Account Activity Report Ids,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/control-account-activity-report-ids.pdf,GIB/RF/IIF,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Growing Your Business Through Franchising,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/growing-your-business-through-franchising.pdf,Campaigns,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Forwarding Of Payments Received Direct Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/forwarding-of-payments-received-direct-form.pdf,GIB/RF/IIF,Tier 3,,,Fail,Pending Adobe,FAIL,"Form fields have tooltips, At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Go Greener Reward Terms,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/go-greener-reward-terms.pdf,Products,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Uk Grow With Google Practical Ai For Marketing,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/uk-grow-with-google-practical-ai-for-marketing.pdf,Generic,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Links use Link tag, Document language present, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
International Business Instant Access Savings Account Summary Box,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/international-business-instant-access-savings-account-summary-box.pdf,Generic,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Kinetic Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/kinetic-business-banking-terms-and-conditions.pdf,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Kinetic Savings Account Extra Terms,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/kinetic-savings-account-extra-terms.pdf,Solutions,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Customer Documentation Guide 12Dec19,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/customer-documentation-guide-12dec19.pdf,General,Tier 3,,,Fail,Pending Adobe,FAIL,"Figure alt text present, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Intro Letter From Customer,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/intro-letter-from-customer.pdf,GIB/RF/IIF,Tier 3,,,Fail,Pending Adobe,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
Corporate Card Privacy Notice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/corporate-card-privacy-notice.pdf,Products,Tier 3,,,Pass,Pending Adobe,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check"
