PDF Name,URL,Category,Total Traffic,Priority Tier,Axes Audit Status,Date Audited,PDF/ UA Reults,WCAG Reults,Link to Audit report,PDF/UA Notes,WCAG Notes,Remediation Status,Adobe Acrobat Audit Status,Remediation Notes,Re-test Result,Link to Audit report,3rd Re-test Result,Link to Audit report
Client Account Additional Conditions,Open PDF,Regulations,552,Tier 1,Complete,25/03/2026,Pass,Fail,https://check.axes4.com/en/result/21cbb0c8-1d05-479d-8a20-6a84c791bf91,The file meets all machine-verifiable PDF/UA requirements.,36 colour contrast failures (1.4 Distinguishable),Not Started,Not Started,,,,,
Hsbc Uk Forward Planning 2025,Open PDF,Campaigns,550,Tier 1,Blocked,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/e5cc5d6e-9877-4845-b192-59bc8824c82a,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Business Loan Direct Debit Mandate,Open PDF,General,468,Tier 1,Blocked,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/1a4a2c72-ccd1-4ced-a71f-7102019cfeb5,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Business Internet Banking Additional Conditions,Open PDF,Regulations,463,Tier 1,Complete,25/03/2026,Pass,Fail,https://check.axes4.com/en/result/91296fe2-b42f-4e62-a791-4b3acb258d94,The file meets all machine-verifiable PDF/UA requirements.,5 colour contrast failures (1.4 Distinguishable),Not Started,Not Started,,,,,
Hsbc Uk Womens Business Growth Initiative Report,Open PDF,Campaigns,462,Tier 1,Blocked,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/d33f0e90-379e-4d63-8de2-b26ac828c098,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Hsbc Financing For Growth Report,Open PDF,Campaigns,458,Tier 1,In Progress,25/03/2026,,,File size too large,File size too large,File size too large,Not Started,Not Started,,,,,
Business Debit Card Factsheet 2,Open PDF,Products,452,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/6f2cce34-992f-40a4-9acc-c429b335fb88,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Guarantee And Standby Letters Of Credit Wording,Open PDF,Products,431,Tier 1,Blocked,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/f7d6ce3a-c859-4734-90d4-e19d32afac8f,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Country Groupings,Open PDF,GIB/RF/IIF,401,Tier 1,Complete,25/03/2026,Partial,Partial,https://check.axes4.com/en/result/21fdfa89-83eb-4201-8e51-2c3ed010e609,"255 structure tree warnings
",255 compatibility warnings (4.1 Compatible),Not Started,Not Started,,,,,
Business Banking Price List,Open PDF,General,397,Tier 1,Complete,25/03/2026,Pass,Fail,https://check.axes4.com/en/result/f2f319f7-d274-45fe-b1de-bd673d37e37f,The file meets all machine-verifiable PDF/UA requirements.,37 colour contrast failures (1.4 Distinguishable),Not Started,Not Started,,,,,
Business Deposit Account Additional Conditions,Open PDF,General,383,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/459d996f-9439-4924-8940-8976b09e3f35,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Sepa Key Facts,Open PDF,Solutions,381,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/43d1c023-bd8d-45d3-a967-51b14d481e74,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Hsb Bacs Factsheet,Open PDF,Products,370,Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/49aced55-e28c-4b33-91de-ebe4ae0354bd,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
